cifras_tipo_m,sistema,linea_negocio,anio,mes,primas,recargos,derechos,iva,prima_total,sistema_ac,linea_negocio_ac,anio_ac,mes_ac,primas_ac,recargos_ac,derechos_ac,iva_ac,prima_total_ac,sistema_diff,linea_negocio_diff,anio_diff,mes_diff,primas_diff,recargos_diff,derechos_diff,iva_diff,prima_total_diff
MXP,ECO,SA,2021,5,7197937889,518414648,3819548,2636616039,10355136699,,,,,,,,,,ECO,SA,2021,5,,,,,
MXP,ECO,SA,2020,12,2255365715,189441978,1956584,385975376,2833615005,,,,,,,,,,ECO,SA,2020,12,,,,,
MXP,ECO,SA,2020,5,85747593,6739504,16890,14735673,107239664,,,,,,,,,,ECO,SA,2020,5,,,,,
MXP,ECO,SA,2020,4,51192,0,500,8270,5935226,,,,,,,,,,ECO,SA,2020,4,,,,,
MXP,ECO,SA,2021,2,43488,3472,6600,8568,62136,,,,,,,,,,ECO,SA,2021,2,,,,,
MXP,ECO,SA,2020,6,-950724338,-95072380,-330,-167327523,1594734817,,,,,,,,,,ECO,SA,2020,6,,,,,
MXP,ECO,SA,2020,2,768000,0,24000,126720,918720,,,,,,,,,,ECO,SA,2020,2,,,,,
MXP,ECO,SA,2020,9,0,0,0,0,382,,,,,,,,,,ECO,SA,2020,9,,,,,
MXP,AND,GI,2020,8,-1304871611.82,9163840.25,-33959652.46,-33959652.46,-135755374.68,AND,GI,2020,8,-1304871611.82,1445490.02,-33959652.46,-3293498.34,44192947.75,AND,GI,2020,8,0,7718350.23,0,30666154.12,179948322.43
MXP,AND,AU,2020,8,-1012597448.66,3331622.14,-77221082.05,-77221082.05,,AND,AU,2020,8,-1012597448.66,3331622.14,-77221082.05,33705138.48,-226256766.84,AND,AU,2020,8,0,0,0,110926220.53,
MXP,AND,DA,2020,8,-130182481.2,643921.24,-1891819.79,-1891819.79,,AND,DA,2020,8,-130182481.2,643921.24,-1891819.79,-5462492.1,40104650.25,AND,DA,2020,8,0,0,0,3570672.31,
MXP,AND,GC,2020,8,-72495576.39,-439028.75,-387284.01,-387284.01,84747850.33,AND,GC,2020,8,-72495576.39,7279321.48,-387284.01,13131107.92,-95200472.1,AND,GC,2020,8,0,7718350.23,0,13518391.93,179948322.43
MXP,AND,VG,2020,8,,-1544240.26,-80.86,-80.86,,AND,VG,2020,8,-802680856.18,-133928.72,-80.86,0,478862738.95,AND,VG,2020,8,,1410311.54,0,80.86,
USD,AND,DA,2020,8,-135141384.1,1091914.7,-684992.59,-684992.59,,AND,DA,2020,8,-135141389.76,1091913.81,-684999.47,67899288.89,-498425719.49,AND,DA,2020,8,5.66,0.89,6.88,68584281.48,
MXP,AND,VI,2020,8,,1936652.75,-330000,-330000,,AND,VI,2020,8,-921327226.8,526341.21,-330000,0,39893816.86,AND,VI,2020,8,,1410311.54,0,330000,
USD,AND,AU,2020,8,-13121117.65,,-167818.26,-167818.26,,AND,AU,2020,8,-13121144.11,0,-167820.97,-1586753.21,11427003.01,AND,AU,2020,8,26.46,,2.71,1418934.95,
USD,AND,VI,2020,8,,1607801.75,,,,AND,VI,2020,8,-905323341.53,1607788.23,0,0,20771176.46,AND,VI,2020,8,,13.52,,,
USD,TAM,VI,2020,8,10696979.93,272392.22,0,0,-1112639.51,TAM,VI,2020,8,10696980.02,272392.2,0,0,-1112639.43,TAM,VI,2020,8,0.09,0.02,0,0,0.08
MXP,TAM,VI,2020,8,7461725.32,110579.98,0,0,40507192.96,TAM,VI,2020,8,7461725.32,110579.98,0,0,40507192.96,TAM,VI,2020,8,0,0,0,0,0
MXP,TAM,AU,2020,8,9192.92,-62822.2,350,-2144110.06,7353457.16,TAM,AU,2020,8,9192.92,-62822.2,350,-2144110.06,7353457.16,TAM,AU,2020,8,0,0,0,0,0
MXP,TAM,GC,2020,8,0,0,0,-965736.85,15282815.21,TAM,GC,2020,8,0,0,0,-965736.85,15282815.21,TAM,GC,2020,8,0,0,0,0,0
MXP,TAM,DA,2020,8,0,0,0,0,-685820.77,TAM,DA,2020,8,0,0,0,0,-685820.77,TAM,DA,2020,8,0,0,0,0,0
USD,TAM,DA,2020,8,0,0,0,0,226460.51,TAM,DA,2020,8,0,0,0,0,226460.5,TAM,DA,2020,8,0,0,0,0,0.01
USD,TAM,AU,2020,8,0,0,0,0,47019.09,TAM,AU,2020,8,0,0,0,0,47019.09,TAM,AU,2020,8,0,0,0,0,0
MXP,TAM,GI,2020,8,0,0,0,0,772175.26,TAM,GI,2020,8,0,0,0,0,772175.26,TAM,GI,2020,8,0,0,0,0,0
MXP,TAM,VG,2020,8,0,0,0,0,256479.14,TAM,VG,2020,8,0,0,0,0,256479.14,TAM,VG,2020,8,0,0,0,0,0
MXP,AZUL,SA,2021,6,-5281552.29,-394453.97,-373145.45,8839204.62,-72035102.62,AZUL,SA,2021,6,-5281552.29,-394453.97,-373145.45,8839204.62,-72035102.62,AZUL,SA,2021,6,0,0,0,0,0
*,ECO,SA,2021,5,7197937889,518414648,3819548,2636616039,10355136699,,,,,,,,,,ECO,SA,2021,5,,,,,
*,ECO,SA,2020,12,2255365715,189441978,1956584,385975376,2833615005,,,,,,,,,,ECO,SA,2020,12,,,,,
*,ECO,SA,2020,5,85747593,6739504,16890,14735673,107239664,,,,,,,,,,ECO,SA,2020,5,,,,,
*,ECO,SA,2020,4,51192,0,500,8270,5935226,,,,,,,,,,ECO,SA,2020,4,,,,,
*,ECO,SA,2021,2,43488,3472,6600,8568,62136,,,,,,,,,,ECO,SA,2021,2,,,,,
*,ECO,SA,2020,6,-950724338,-95072380,-330,-167327523,1594734817,,,,,,,,,,ECO,SA,2020,6,,,,,
*,ECO,SA,2020,2,768000,0,24000,126720,918720,,,,,,,,,,ECO,SA,2020,2,,,,,
*,ECO,SA,2020,9,0,0,0,0,382,,,,,,,,,,ECO,SA,2020,9,,,,,
*,TAM,VI,2020,8,18158705.25,382972.2,0,0,39394553.45,TAM,VI,2020,8,18158705.34,382972.18,0,0,39394553.52,TAM,VI,2020,8,0.09,0.02,0,0,0.07
*,TAM,AU,2020,8,9192.92,-62822.2,350,-2144110.06,7400476.25,TAM,AU,2020,8,9192.92,-62822.2,350,-2144110.06,7400476.25,TAM,AU,2020,8,0,0,0,0,0
*,TAM,GC,2020,8,0,0,0,-965736.85,15282815.21,TAM,GC,2020,8,0,0,0,-965736.85,15282815.21,TAM,GC,2020,8,0,0,0,0,0
*,TAM,DA,2020,8,0,0,0,0,-459360.26,TAM,DA,2020,8,0,0,0,0,-459360.26,TAM,DA,2020,8,0,0,0,0,0
*,TAM,GI,2020,8,0,0,0,0,772175.26,TAM,GI,2020,8,0,0,0,0,772175.26,TAM,GI,2020,8,0,0,0,0,0
*,TAM,VG,2020,8,0,0,0,0,256479.14,TAM,VG,2020,8,0,0,0,0,256479.14,TAM,VG,2020,8,0,0,0,0,0
*,AZUL,SA,2021,6,-5281552.29,-394453.97,-373145.45,8839204.62,-72035102.62,AZUL,SA,2021,6,-5281552.29,-394453.97,-373145.45,8839204.62,-72035102.62,AZUL,SA,2021,6,0,0,0,0,0
*,AND,GI,2020,8,-1304871611.82,9163840.25,-33959652.46,-33959652.46,-135755374.68,AND,GI,2020,8,-1304871611.82,1445490.02,-33959652.46,-3293498.34,44192947.75,AND,GI,2020,8,0,7718350.23,0,30666154.12,179948322.43
*,AND,GC,2020,8,-72495576.39,-439028.75,-387284.01,-387284.01,84747850.33,AND,GC,2020,8,-72495576.39,7279321.48,-387284.01,13131107.92,-95200472.1,AND,GC,2020,8,0,7718350.23,0,13518391.93,179948322.43
*,AND,VG,2020,8,,-1544240.26,-80.86,-80.86,,AND,VG,2020,8,-802680856.18,-133928.72,-80.86,0,478862738.95,AND,VG,2020,8,,1410311.54,0,80.86,
*,AND,VI,2020,8,,3544454.5,-330000,-330000,,AND,VI,2020,8,-1826650568.33,2134129.44,-330000,0,60664993.32,AND,VI,2020,8,,1410325.06,0,330000,
*,AND,DA,2020,8,-265323865.3,1735835.94,-2576812.38,-2576812.38,,AND,DA,2020,8,-265323870.96,1735835.05,-2576819.26,62436796.79,-458321069.24,AND,DA,2020,8,5.66,0.89,6.88,65013609.17,
*,AND,AU,2020,8,-1025718566.31,3331622.14,-77388900.31,-77388900.31,,AND,AU,2020,8,-1025718592.77,3331622.14,-77388903.02,32118385.26,-214829763.82,AND,AU,2020,8,26.46,0,2.71,109507285.57,
